Wall time,Step,Value
1702096425.8440127,19,-1.7555937767028809
1702096427.1435544,48,-1.9960014820098877
1702096427.661804,63,-0.9219420552253723
1702096428.9219284,90,-2.3310916423797607
1702096429.5387561,104,-0.43498915433883667
1702096429.7561297,108,-1.6923623085021973
1702096430.72117,129,-0.8816028237342834
1702096432.2814138,165,-0.8752743601799011
1702096432.5108013,173,-1.098836898803711
1702096435.7856278,245,-0.5551042556762695
1702096436.2510426,260,-1.019256830215454
1702096437.044447,283,-0.5577960014343262
1702096441.6431327,387,-1.920263409614563
1702096442.3937562,403,-0.5116471648216248
1702096443.0297997,416,-0.1269230991601944
1702096444.056817,438,-0.3285183310508728
1702096445.174679,466,-0.46230265498161316
1702096445.59286,476,-0.9195562601089478
1702096445.8738647,482,-0.4113346040248871
1702096447.2078907,511,-0.3035653233528137
1702096448.5293822,534,-2.3795933723449707
1702096448.7085748,539,-1.1597156524658203
1702096448.7885764,541,-0.2460865080356598
1702096449.3995705,557,-0.6009536981582642
1702096451.041056,597,-1.335549235343933
1702096455.6291757,638,-0.6369455456733704
1702096456.0226917,644,-0.6421793699264526
1702096456.1460485,645,-1.0353127717971802
1702096457.238479,659,-0.7290090322494507
1702096458.4290018,676,-1.0254043340682983
1702096462.9665315,765,-0.370813250541687
1702096463.3457546,776,1.9023463726043701
1702096464.9825692,805,-0.3586817979812622
1702096467.7905195,867,-0.03110235556960106
1702096468.914828,887,-0.9345957636833191
1702096475.3920581,1016,-0.7335966229438782
1702096476.1893675,1027,1.9509471654891968
1702096476.5971897,1038,-0.6174302697181702
1702096478.203868,1072,-0.5230497121810913
1702096479.6693263,1112,-0.52096027135849
1702096480.482904,1126,-1.371141791343689
1702096480.747485,1133,-0.47169774770736694
1702096481.4083657,1153,-0.49390384554862976
1702096481.8102012,1165,-0.10087433457374573
1702096482.2485428,1177,1.9012742042541504
1702096482.5676267,1185,-0.6127305030822754
1702096484.168732,1219,-1.2425346374511719
1702096485.898926,1253,-0.08067192882299423
1702096485.9817069,1255,-0.7875342965126038
1702096486.4846892,1268,-0.09718111902475357
1702096486.643636,1272,-0.24636001884937286
1702096491.7233775,1377,-0.6134564280509949
1702096493.2815964,1418,-0.05403100699186325
1702096495.0617452,1458,-0.02719580940902233
1702096495.0775673,1459,-0.14938107132911682
1702096496.4039755,1495,-0.3215970993041992
1702096497.3263862,1511,-0.6340287923812866
1702096497.4127307,1514,-0.2459249496459961
1702096499.1693826,1549,-0.31232553720474243
1702096499.2431924,1552,-0.36201152205467224
