Wall time,Step,Value
1702046971.302298,19,-4.976868152618408
1702046984.7886758,48,-22.758445739746094
1702046990.9131842,63,-42.0496711730957
1702047001.5260098,90,-14.136697769165039
1702047006.9899013,104,-21.37222671508789
1702047008.5296016,108,2.2403459548950195
1702047016.682104,129,-3.399883270263672
1702047030.7039437,165,-9.173689842224121
1702047033.8470507,173,-46.63574981689453
1702047098.2002587,245,-24.137615203857422
1702047116.2620802,260,-5.513357639312744
1702047143.8133676,283,-6.887598037719727
1702047273.2169664,387,-8.344537734985352
1702047292.679969,403,-7.796098232269287
1702047309.9767299,416,-24.36969566345215
1702047339.1383567,438,-8.230626106262207
1702047376.9816587,466,-34.492027282714844
1702047390.2786398,476,2.594050645828247
1702047398.6677685,482,10.640379905700684
1702047439.0710526,511,10.389246940612793
1702047470.8991253,534,-11.810705184936523
1702047477.8244417,539,-23.17360496520996
1702047480.6584918,541,-19.425548553466797
1702047502.763228,557,-14.935726165771484
1702047557.5642083,597,-10.214611053466797
1702047634.3864856,638,8.900079727172852
1702047642.5560749,644,6.087011337280273
1702047643.4232016,645,6.16506814956665
1702047661.5516434,659,22.07101058959961
1702047680.4691563,676,10.910297393798828
1702047794.1826825,765,6.400412082672119
1702047805.671028,776,6.616580963134766
1702047838.6453307,805,11.899969100952148
1702047888.5587971,867,5.98250150680542
1702047905.8154383,887,12.989418029785156
1702047995.7450528,1016,6.106873035430908
1702048003.488269,1027,6.103970050811768
1702048013.2130685,1038,4.560186386108398
1702048037.0777314,1072,6.450461387634277
1702048066.7489696,1112,3.416245460510254
1702048076.5526054,1126,5.8460516929626465
1702048081.5915334,1133,6.162050247192383
1702048092.501296,1153,5.950323104858398
1702048097.9546397,1165,6.099803924560547
1702048105.3514204,1177,6.001861572265625
1702048109.649105,1185,5.7198896408081055
1702048129.885248,1219,5.9325480461120605
1702048149.8443263,1253,6.278554439544678
1702048150.6123846,1255,6.238041877746582
1702048158.6268866,1268,6.115025043487549
1702048162.1639059,1272,7.92064905166626
1702048238.4967499,1377,5.801699638366699
1702048264.4414635,1418,4.702455043792725
1702048287.9667387,1458,6.042736053466797
1702048288.37275,1459,6.016653537750244
1702048307.0010977,1495,6.115511894226074
1702048315.5575562,1511,6.167960166931152
1702048317.0394912,1514,5.596256256103516
1702048335.558346,1549,6.27437162399292
1702048337.3475099,1552,6.1905837059021
1702048346.5288758,1566,5.922478199005127
1702048383.8286994,1628,5.511396408081055
1702048387.3659866,1636,6.082423686981201
1702048406.5239117,1671,6.243796348571777
1702048421.3707006,1703,6.020217418670654
1702048426.648338,1712,6.0998640060424805
1702048494.3292117,1848,6.379908561706543
1702048499.4273152,1861,6.035040855407715
1702048517.2676828,1900,6.044458866119385
1702048521.2899556,1910,5.983986854553223
1702048538.9534006,1941,5.869597911834717
1702048547.0226753,1961,6.06502628326416
1702048547.3930953,1962,6.0545430183410645
1702048597.1290302,2071,6.016025543212891
1702048600.302377,2080,6.078345775604248
1702048603.9677835,2090,6.143881320953369
1702048608.8528612,2101,5.928731441497803
1702048660.1853533,2210,6.133566856384277
1702048707.7968955,2320,5.754751205444336
1702048725.4591293,2360,6.335038661956787
1702048760.4339192,2437,6.029372692108154
1702048762.3808622,2442,6.203185558319092
